ID;Artikel;NA;Bruttobetrag;Nettobetrag;Verkaufte Stücke;Gewicht verkauft;Durchschnittlicher Preis;Referenzbetrag;Ref %;Tot %Umsatz;source;year
1;A10000;Küche;-11'454.60;-11'454.60;16;0;-715.91;-11'454.60;100;191.64;KW01.xlsx;2016
2;A10001;Favorite;1'866.00;1'866.00;237;0;7.87;1'866.00;100;-31.22;KW01.xlsx;2016
3;A10002;Green;1'168.00;1'168.00;150;0;7.79;1'168.00;100;-19.54;KW01.xlsx;2016
4;A100039;Portion Pommes;5.5;5.5;1;0;5.5;5.5;100;-0.09;KW01.xlsx;2016
5;A10005;Menu Suppe;10.5;10.5;7;0;1.5;10.5;100;-0.18;KW01.xlsx;2016
6;A10006;Menu Salat;157;157;104;0;1.51;157;100;-2.63;KW01.xlsx;2016
7;A10007;Senf Mayo Ketschup;7;7;14;0;0.5;7;100;-0.12;KW01.xlsx;2016
8;A10011;Kitchen 1;140;140;14;0;10;140;100;-2.34;KW01.xlsx;2016
9;A10012;Kitchen 2;187;187;17;0;11;187;100;-3.13;KW01.xlsx;2016
10;A10013;Kitchen 3;60;60;5;0;12;60;100;-1;KW01.xlsx;2016
11;A10014;Kitchen 4;594;594;45;0;13.2;594;100;-9.94;KW01.xlsx;2016
12;A10020;Local 0;981;981;126;0;7.79;981;100;-16.41;KW01.xlsx;2016
13;A10030;Market;15.1;15.1;2;0.65;23.09;15.1;100;-0.25;KW01.xlsx;2016
14;A10040;Garden;209.2;209.2;31;9.09;23.02;209.2;100;-3.5;KW01.xlsx;2016
15;A10061;Frucht -.80;3.2;3.2;4;0;0.8;3.2;100;-0.05;KW01.xlsx;2016
16;A10063;Frucht 1.00;4;4;4;0;1;4;100;-0.07;KW01.xlsx;2016
17;A10073;Saisonfrüchte geschnitten;3.5;3.5;1;0;3.5;3.5;100;-0.06;KW01.xlsx;2016
18;A10103;Vanille-Gipfel;2.4;2.4;1;0;2.4;2.4;100;-0.04;KW01.xlsx;2016
19;A10108;Laugenbrezel mit Butter;2.2;2.2;1;0;2.2;2.2;100;-0.04;KW01.xlsx;2016
20;A10111;Schoggi Fair;2.2;2.2;1;0;2.2;2.2;100;-0.04;KW01.xlsx;2016
21;A10114;Fitnessbrötli ;1.7;1.7;1;0;1.7;1.7;100;-0.03;KW01.xlsx;2016
22;A10121;Mandelschnecke ;2.4;2.4;1;0;2.4;2.4;100;-0.04;KW01.xlsx;2016
23;A10122;Nussbrille;2.4;2.4;1;0;2.4;2.4;100;-0.04;KW01.xlsx;2016
24;A10144;Trockengebäck 100g verpackt;2.2;2.2;1;0;2.2;2.2;100;-0.04;KW01.xlsx;2016
25;A10162;Bienenstich;2.4;2.4;1;0;2.4;2.4;100;-0.04;KW01.xlsx;2016
26;A10200;Birchermüesli Classic;9.6;9.6;3;0;3.2;9.6;100;-0.16;KW01.xlsx;2016
27;A10410;Sandwich Milano;4;4;1;0;4;4;100;-0.07;KW01.xlsx;2016
28;A10411;Sandwich Power Ham;8;8;2;0;4;8;100;-0.13;KW01.xlsx;2016
29;A10414;Sandwich Ham & Cheese;16.5;16.5;3;0;5.5;16.5;100;-0.28;KW01.xlsx;2016
30;A10450;Sandwich Laugenkaiser;4;4;1;0;4;4;100;-0.07;KW01.xlsx;2016
31;A10451;Sandwich Bauette;5;5;1;0;5;5;100;-0.08;KW01.xlsx;2016
32;L19000;Brotwaren offen;1.5;1.5;1;0;1.5;1.5;100;-0.03;KW01.xlsx;2016
34;A10000;Küche;297;297;97;0;3.06;297;100;3;KW02.xlsx;2016
35;A10001;Favorite;4'097.00;4'097.00;508;0;8.06;4'097.00;100;41.35;KW02.xlsx;2016
36;A10002;Green;1'921.00;1'921.00;245;0;7.84;1'921.00;100;19.39;KW02.xlsx;2016
37;A100039;Portion Pommes;27.5;27.5;5;0;5.5;27.5;100;0.28;KW02.xlsx;2016
38;A10005;Menu Suppe;43;43;28;0;1.54;43;100;0.43;KW02.xlsx;2016
39;A10006;Menu Salat;275.5;275.5;175;0;1.57;275.5;100;2.78;KW02.xlsx;2016
40;A10007;Senf Mayo Ketschup;9;9;18;0;0.5;9;100;0.09;KW02.xlsx;2016
41;A10011;Kitchen 1;155;155;15;0;10.33;155;100;1.56;KW02.xlsx;2016
42;A10012;Kitchen 2;174;174;16;0;10.88;174;100;1.76;KW02.xlsx;2016
43;A10013;Kitchen 3;273;273;23;0;11.87;273;100;2.76;KW02.xlsx;2016
44;A10014;Kitchen 4;594;594;46;0;12.91;594;100;6;KW02.xlsx;2016
45;A10020;Local 0;1'293.00;1'293.00;162;0;7.98;1'293.00;100;13.05;KW02.xlsx;2016
46;A10030;Market;104.5;104.5;16;4.54;23.02;104.5;100;1.05;KW02.xlsx;2016
47;A10040;Garden;297;297;40;12.81;23.18;297;100;3;KW02.xlsx;2016
48;A10061;Frucht -.80;4.8;4.8;6;0;0.8;4.8;100;0.05;KW02.xlsx;2016
49;A10063;Frucht 1.00;15;15;15;0;1;15;100;0.15;KW02.xlsx;2016
50;A10070;Yogurt 150g;1.6;1.6;1;0;1.6;1.6;100;0.02;KW02.xlsx;2016
51;A100700;Yogi;1.6;1.6;1;0;1.6;1.6;100;0.02;KW02.xlsx;2016
52;A10072;Schichtjoghurt;6.5;6.5;2;0;3.25;6.5;100;0.07;KW02.xlsx;2016
53;A10073;Saisonfrüchte geschnitten;10.5;10.5;3;0;3.5;10.5;100;0.11;KW02.xlsx;2016
54;A10100;Gipfel;3.9;3.9;3;0;1.3;3.9;100;0.04;KW02.xlsx;2016
55;A10101;Ragusa-Gipfel ;9.6;9.6;4;0;2.4;9.6;100;0.1;KW02.xlsx;2016
56;A10103;Vanille-Gipfel;12;12;5;0;2.4;12;100;0.12;KW02.xlsx;2016
57;A10108;Laugenbrezel mit Butter;2.2;2.2;1;0;2.2;2.2;100;0.02;KW02.xlsx;2016
58;A10112;Maisbrötli;5.1;5.1;3;0;1.7;5.1;100;0.05;KW02.xlsx;2016
59;A10114;Fitnessbrötli ;1.7;1.7;1;0;1.7;1.7;100;0.02;KW02.xlsx;2016
60;A10119;Studentenschnitte ;4.8;4.8;2;0;2.4;4.8;100;0.05;KW02.xlsx;2016
61;A10121;Mandelschnecke ;10.6;10.6;4;0;2.65;10.6;100;0.11;KW02.xlsx;2016
62;A10122;Nussbrille;2.9;2.9;1;0;2.9;2.9;100;0.03;KW02.xlsx;2016
63;A10126;Apfel im Schlafrock;2.4;2.4;1;0;2.4;2.4;100;0.02;KW02.xlsx;2016
64;A10128;Aprikosenjalousie;7.7;7.7;3;0;2.57;7.7;100;0.08;KW02.xlsx;2016
65;A10129;Aprikosen-Bögli;2.4;2.4;1;0;2.4;2.4;100;0.02;KW02.xlsx;2016
67;A10000;Küche;69.8;69.8;8;0;8.73;69.8;100;0.85;KW03.xlsx;2016
68;A10001;Favorite;3'230.00;3'230.00;396;0;8.16;3'230.00;100;39.19;KW03.xlsx;2016
69;A10002;Green;1'637.00;1'637.00;207;0;7.91;1'637.00;100;19.86;KW03.xlsx;2016
70;A100039;Portion Pommes;11;11;2;0;5.5;11;100;0.13;KW03.xlsx;2016
71;A10005;Menu Suppe;15;15;10;0;1.5;15;100;0.18;KW03.xlsx;2016
72;A10006;Menu Salat;206;206;132;0;1.56;206;100;2.5;KW03.xlsx;2016
73;A10007;Senf Mayo Ketschup;4.5;4.5;9;0;0.5;4.5;100;0.05;KW03.xlsx;2016
74;A10011;Kitchen 1;134;134;13;0;10.31;134;100;1.63;KW03.xlsx;2016
75;A10013;Kitchen 3;420;420;35;0;12;420;100;5.1;KW03.xlsx;2016
76;A10014;Kitchen 4;982;982;75;0;13.09;982;100;11.92;KW03.xlsx;2016
77;A10020;Local 0;1'036.00;1'036.00;132;0;7.85;1'036.00;100;12.57;KW03.xlsx;2016
78;A10040;Garden;266;266;42;11.5;23.12;266;100;3.23;KW03.xlsx;2016
79;A10061;Frucht -.80;1.6;1.6;2;0;0.8;1.6;100;0.02;KW03.xlsx;2016
80;A10063;Frucht 1.00;7;7;7;0;1;7;100;0.08;KW03.xlsx;2016
81;A10073;Saisonfrüchte geschnitten;3.5;3.5;1;0;3.5;3.5;100;0.04;KW03.xlsx;2016
82;A10101;Ragusa-Gipfel ;10.6;10.6;4;0;2.65;10.6;100;0.13;KW03.xlsx;2016
83;A10102;Mandelgipfel ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW03.xlsx;2016
84;A10103;Vanille-Gipfel;7.2;7.2;3;0;2.4;7.2;100;0.09;KW03.xlsx;2016
85;A10111;Schoggi Fair;8.8;8.8;4;0;2.2;8.8;100;0.11;KW03.xlsx;2016
86;A10120;Mandelbrezel ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW03.xlsx;2016
87;A10121;Mandelschnecke ;11.1;11.1;4;0;2.78;11.1;100;0.13;KW03.xlsx;2016
88;A10122;Nussbrille;2.9;2.9;1;0;2.9;2.9;100;0.04;KW03.xlsx;2016
89;A10127;Aprikosenplunder;2.4;2.4;1;0;2.4;2.4;100;0.03;KW03.xlsx;2016
90;A10128;Aprikosenjalousie;5.3;5.3;2;0;2.65;5.3;100;0.06;KW03.xlsx;2016
91;A10130;Vanillekreuz;2.4;2.4;1;0;2.4;2.4;100;0.03;KW03.xlsx;2016
92;A10135;Wähe;11.7;11.7;3;0;3.9;11.7;100;0.14;KW03.xlsx;2016
93;A10144;Trockengebäck 100g verpackt;2.2;2.2;1;0;2.2;2.2;100;0.03;KW03.xlsx;2016
94;A10148;Fruchttörtli;2.4;2.4;1;0;2.4;2.4;100;0.03;KW03.xlsx;2016
95;A10162;Bienenstich;2.4;2.4;1;0;2.4;2.4;100;0.03;KW03.xlsx;2016
96;A10200;Birchermüesli Classic;10.1;10.1;3;0;3.37;10.1;100;0.12;KW03.xlsx;2016
97;A10409;Sandwich Appenzell;12;12;2;0;6;12;100;0.15;KW03.xlsx;2016
98;A10410;Sandwich Milano;8.5;8.5;2;0;4.25;8.5;100;0.1;KW03.xlsx;2016
100;A10000;Küche;115;115;22;0;5.23;115;100;1.47;KW04.xlsx;2016
101;A10001;Favorite;2'808.00;2'808.00;349;0;8.05;2'808.00;100;35.97;KW04.xlsx;2016
102;A10002;Green;1'584.00;1'584.00;199;0;7.96;1'584.00;100;20.29;KW04.xlsx;2016
103;A100039;Portion Pommes;27.5;27.5;5;0;5.5;27.5;100;0.35;KW04.xlsx;2016
104;A10004;Brot Stück;0.3;0.3;1;0;0.3;0.3;100;0;KW04.xlsx;2016
105;A10005;Menu Suppe;19;19;12;0;1.58;19;100;0.24;KW04.xlsx;2016
106;A10006;Menu Salat;169.5;169.5;109;0;1.56;169.5;100;2.17;KW04.xlsx;2016
107;A10007;Senf Mayo Ketschup;4.5;4.5;9;0;0.5;4.5;100;0.06;KW04.xlsx;2016
108;A10011;Kitchen 1;10;10;1;0;10;10;100;0.13;KW04.xlsx;2016
109;A10012;Kitchen 2;476;476;43;0;11.07;476;100;6.1;KW04.xlsx;2016
110;A10013;Kitchen 3;419;419;35;0;11.97;419;100;5.37;KW04.xlsx;2016
111;A10014;Kitchen 4;789;789;61;0;12.93;789;100;10.11;KW04.xlsx;2016
112;A10020;Local 0;929;929;115;0;8.08;929;100;11.9;KW04.xlsx;2016
113;A10040;Garden;214.6;214.6;32;9.29;23.09;214.6;100;2.75;KW04.xlsx;2016
114;A10061;Frucht -.80;0.8;0.8;1;0;0.8;0.8;100;0.01;KW04.xlsx;2016
115;A10063;Frucht 1.00;38;38;38;0;1;38;100;0.49;KW04.xlsx;2016
116;A100700;Yogi;1.6;1.6;1;0;1.6;1.6;100;0.02;KW04.xlsx;2016
117;A10100;Gipfel;14.3;14.3;11;0;1.3;14.3;100;0.18;KW04.xlsx;2016
118;A10108;Laugenbrezel mit Butter;4.4;4.4;2;0;2.2;4.4;100;0.06;KW04.xlsx;2016
119;A10111;Schoggi Fair;4.6;4.6;2;0;2.3;4.6;100;0.06;KW04.xlsx;2016
120;A10119;Studentenschnitte ;4.8;4.8;2;0;2.4;4.8;100;0.06;KW04.xlsx;2016
121;A10120;Mandelbrezel ;4.8;4.8;2;0;2.4;4.8;100;0.06;KW04.xlsx;2016
122;A10121;Mandelschnecke ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW04.xlsx;2016
123;A10127;Aprikosenplunder;2.4;2.4;1;0;2.4;2.4;100;0.03;KW04.xlsx;2016
124;A10135;Wähe;11.7;11.7;3;0;3.9;11.7;100;0.15;KW04.xlsx;2016
125;A10144;Trockengebäck 100g verpackt;4.4;4.4;2;0;2.2;4.4;100;0.06;KW04.xlsx;2016
126;A10148;Fruchttörtli;7.2;7.2;3;0;2.4;7.2;100;0.09;KW04.xlsx;2016
127;A10200;Birchermüesli Classic;19.7;19.7;6;0;3.28;19.7;100;0.25;KW04.xlsx;2016
128;A10201;Birchermüesli Saisonal;4.9;4.9;1;0;4.9;4.9;100;0.06;KW04.xlsx;2016
129;A10410;Sandwich Milano;24;24;6;0;4;24;100;0.31;KW04.xlsx;2016
130;A10414;Sandwich Ham & Cheese;44.5;44.5;8;0;5.56;44.5;100;0.57;KW04.xlsx;2016
131;A10438;FB Sandwich Ham & Co;5.5;5.5;1;0;5.5;5.5;100;0.07;KW04.xlsx;2016
133;A10000;Küche;34.9;34.9;10;0;3.49;34.9;100;0.41;KW05.xlsx;2016
134;A10001;Favorite;2'711.00;2'711.00;333;0;8.14;2'711.00;100;31.58;KW05.xlsx;2016
135;A10002;Green;1'851.00;1'851.00;232;0;7.98;1'851.00;100;21.56;KW05.xlsx;2016
136;A10005;Menu Suppe;14.5;14.5;9;0;1.61;14.5;100;0.17;KW05.xlsx;2016
137;A10006;Menu Salat;275;275;156;0;1.76;275;100;3.2;KW05.xlsx;2016
138;A10007;Senf Mayo Ketschup;3;3;6;0;0.5;3;100;0.03;KW05.xlsx;2016
139;A10011;Kitchen 1;137;137;14;0;9.79;137;100;1.6;KW05.xlsx;2016
140;A10012;Kitchen 2;406;406;37;0;10.97;406;100;4.73;KW05.xlsx;2016
141;A10013;Kitchen 3;237;237;20;0;11.85;237;100;2.76;KW05.xlsx;2016
142;A10014;Kitchen 4;1'199.00;1'199.00;75;0;15.99;1'199.00;100;13.97;KW05.xlsx;2016
143;A10020;Local 0;1'151.00;1'151.00;139;0;8.28;1'151.00;100;13.41;KW05.xlsx;2016
144;A10040;Garden;343;343;43;14.91;23;343;100;4;KW05.xlsx;2016
145;A10061;Frucht -.80;0.8;0.8;1;0;0.8;0.8;100;0.01;KW05.xlsx;2016
146;A10063;Frucht 1.00;3;3;3;0;1;3;100;0.03;KW05.xlsx;2016
147;A10101;Ragusa-Gipfel ;7.2;7.2;3;0;2.4;7.2;100;0.08;KW05.xlsx;2016
148;A10103;Vanille-Gipfel;12.5;12.5;5;0;2.5;12.5;100;0.15;KW05.xlsx;2016
149;A10112;Maisbrötli;1.7;1.7;1;0;1.7;1.7;100;0.02;KW05.xlsx;2016
150;A10114;Fitnessbrötli ;3.4;3.4;2;0;1.7;3.4;100;0.04;KW05.xlsx;2016
151;A10120;Mandelbrezel ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW05.xlsx;2016
152;A10121;Mandelschnecke ;9.6;9.6;4;0;2.4;9.6;100;0.11;KW05.xlsx;2016
153;A10123;Russenzöpfli;4.8;4.8;2;0;2.4;4.8;100;0.06;KW05.xlsx;2016
154;A10124;Kirschenstange;2.4;2.4;1;0;2.4;2.4;100;0.03;KW05.xlsx;2016
155;A10126;Apfel im Schlafrock;4.8;4.8;2;0;2.4;4.8;100;0.06;KW05.xlsx;2016
156;A10127;Aprikosenplunder;2.4;2.4;1;0;2.4;2.4;100;0.03;KW05.xlsx;2016
157;A10128;Aprikosenjalousie;5.8;5.8;2;0;2.9;5.8;100;0.07;KW05.xlsx;2016
158;A10135;Wähe;3.9;3.9;1;0;3.9;3.9;100;0.05;KW05.xlsx;2016
159;A10136;Muffin;6;6;2;0;3;6;100;0.07;KW05.xlsx;2016
160;A10143;Trockengebäck Lyner verpackt;2.4;2.4;1;0;2.4;2.4;100;0.03;KW05.xlsx;2016
161;A10144;Trockengebäck 100g verpackt;2.2;2.2;1;0;2.2;2.2;100;0.03;KW05.xlsx;2016
162;A10148;Fruchttörtli;10.1;10.1;4;0;2.53;10.1;100;0.12;KW05.xlsx;2016
163;A10200;Birchermüesli Classic;13.3;13.3;4;0;3.33;13.3;100;0.15;KW05.xlsx;2016
164;A10409;Sandwich Appenzell;16.5;16.5;3;0;5.5;16.5;100;0.19;KW05.xlsx;2016
166;A10000;Küche;15.1;15.1;4;0;3.78;15.1;100;0.22;KW06.xlsx;2016
167;A10001;Favorite;2'607.00;2'607.00;318;0;8.2;2'607.00;100;37.83;KW06.xlsx;2016
168;A10002;Green;1'465.00;1'465.00;183;0;8.01;1'465.00;100;21.26;KW06.xlsx;2016
169;A10004;Brot Stück;0.9;0.9;3;0;0.3;0.9;100;0.01;KW06.xlsx;2016
170;A10005;Menu Suppe;28;28;18;0;1.56;28;100;0.41;KW06.xlsx;2016
171;A10006;Menu Salat;221.5;221.5;143;0;1.55;221.5;100;3.21;KW06.xlsx;2016
172;A10007;Senf Mayo Ketschup;1;1;2;0;0.5;1;100;0.01;KW06.xlsx;2016
173;A10008;Gemüseportion;4.5;4.5;3;0;1.5;4.5;100;0.07;KW06.xlsx;2016
174;A10011;Kitchen 1;427;427;39;0;10.95;427;100;6.2;KW06.xlsx;2016
175;A10012;Kitchen 2;173;173;16;0;10.81;173;100;2.51;KW06.xlsx;2016
176;A10013;Kitchen 3;59;59;5;0;11.8;59;100;0.86;KW06.xlsx;2016
177;A10014;Kitchen 4;170;170;13;0;13.08;170;100;2.47;KW06.xlsx;2016
178;A10020;Local 0;1'268.00;1'268.00;151;0;8.4;1'268.00;100;18.4;KW06.xlsx;2016
179;A10040;Garden;272.8;272.8;39;11.82;23.09;272.8;100;3.96;KW06.xlsx;2016
180;A10061;Frucht -.80;0.8;0.8;1;0;0.8;0.8;100;0.01;KW06.xlsx;2016
181;A10063;Frucht 1.00;6;6;6;0;1;6;100;0.09;KW06.xlsx;2016
182;A10072;Schichtjoghurt;6;6;2;0;3;6;100;0.09;KW06.xlsx;2016
183;A10073;Saisonfrüchte geschnitten;7;7;2;0;3.5;7;100;0.1;KW06.xlsx;2016
184;A10101;Ragusa-Gipfel ;7.7;7.7;3;0;2.57;7.7;100;0.11;KW06.xlsx;2016
185;A10103;Vanille-Gipfel;2.4;2.4;1;0;2.4;2.4;100;0.03;KW06.xlsx;2016
186;A10108;Laugenbrezel mit Butter;2.2;2.2;1;0;2.2;2.2;100;0.03;KW06.xlsx;2016
187;A10119;Studentenschnitte ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW06.xlsx;2016
188;A10121;Mandelschnecke ;4.8;4.8;2;0;2.4;4.8;100;0.07;KW06.xlsx;2016
189;A10126;Apfel im Schlafrock;2.4;2.4;1;0;2.4;2.4;100;0.03;KW06.xlsx;2016
190;A10130;Vanillekreuz;4.8;4.8;2;0;2.4;4.8;100;0.07;KW06.xlsx;2016
191;A10135;Wähe;19.5;19.5;5;0;3.9;19.5;100;0.28;KW06.xlsx;2016
192;A10200;Birchermüesli Classic;6.4;6.4;2;0;3.2;6.4;100;0.09;KW06.xlsx;2016
193;A10410;Sandwich Milano;12;12;3;0;4;12;100;0.17;KW06.xlsx;2016
194;A10411;Sandwich Power Ham;8;8;2;0;4;8;100;0.12;KW06.xlsx;2016
195;A10414;Sandwich Ham & Cheese;22;22;4;0;5.5;22;100;0.32;KW06.xlsx;2016
196;A10416;Sandwich Ticinese;18;18;3;0;6;18;100;0.26;KW06.xlsx;2016
197;A10430;Bagel Sandwich Fisherman's Catch;11;11;2;0;5.5;11;100;0.16;KW06.xlsx;2016
199;A10000;Küche;118.5;118.5;21;0;5.64;118.5;100;1.81;KW07.xlsx;2016
200;A10001;Favorite;3'033.00;3'033.00;366;0;8.29;3'033.00;100;46.35;KW07.xlsx;2016
201;A10002;Green;895;895;111;0;8.06;895;100;13.68;KW07.xlsx;2016
202;A100039;Portion Pommes;5.5;5.5;1;0;5.5;5.5;100;0.08;KW07.xlsx;2016
203;A10004;Brot Stück;0.3;0.3;1;0;0.3;0.3;100;0;KW07.xlsx;2016
204;A10005;Menu Suppe;19;19;12;0;1.58;19;100;0.29;KW07.xlsx;2016
205;A10006;Menu Salat;204.5;204.5;129;0;1.59;204.5;100;3.13;KW07.xlsx;2016
206;A10007;Senf Mayo Ketschup;1;1;2;0;0.5;1;100;0.02;KW07.xlsx;2016
207;A10011;Kitchen 1;418;418;42;0;9.95;418;100;6.39;KW07.xlsx;2016
208;A10013;Kitchen 3;169;169;14;0;12.07;169;100;2.58;KW07.xlsx;2016
209;A10014;Kitchen 4;455;455;35;0;13;455;100;6.95;KW07.xlsx;2016
210;A10020;Local 0;685;685;84;0;8.15;685;100;10.47;KW07.xlsx;2016
211;A10021;Local 1;247;247;25;0;9.88;247;100;3.77;KW07.xlsx;2016
212;A10040;Garden;166.9;166.9;24;7.25;23.01;166.9;100;2.55;KW07.xlsx;2016
213;A10063;Frucht 1.00;2;2;2;0;1;2;100;0.03;KW07.xlsx;2016
214;A10072;Schichtjoghurt;6;6;2;0;3;6;100;0.09;KW07.xlsx;2016
215;A10101;Ragusa-Gipfel ;2.4;2.4;1;0;2.4;2.4;100;0.04;KW07.xlsx;2016
216;A10104;Schoggi-Gipfel ;2.9;2.9;1;0;2.9;2.9;100;0.04;KW07.xlsx;2016
217;A10108;Laugenbrezel mit Butter;6.6;6.6;3;0;2.2;6.6;100;0.1;KW07.xlsx;2016
218;A10111;Schoggi Fair;2.2;2.2;1;0;2.2;2.2;100;0.03;KW07.xlsx;2016
219;A10112;Maisbrötli;1.7;1.7;1;0;1.7;1.7;100;0.03;KW07.xlsx;2016
220;A10120;Mandelbrezel ;2.4;2.4;1;0;2.4;2.4;100;0.04;KW07.xlsx;2016
221;A10121;Mandelschnecke ;2.4;2.4;1;0;2.4;2.4;100;0.04;KW07.xlsx;2016
222;A10126;Apfel im Schlafrock;2.4;2.4;1;0;2.4;2.4;100;0.04;KW07.xlsx;2016
223;A10127;Aprikosenplunder;2.4;2.4;1;0;2.4;2.4;100;0.04;KW07.xlsx;2016
224;A10144;Trockengebäck 100g verpackt;5.4;5.4;2;0;2.7;5.4;100;0.08;KW07.xlsx;2016
225;A10148;Fruchttörtli;2.4;2.4;1;0;2.4;2.4;100;0.04;KW07.xlsx;2016
226;A10200;Birchermüesli Classic;7.4;7.4;2;0;3.7;7.4;100;0.11;KW07.xlsx;2016
227;A10410;Sandwich Milano;4;4;1;0;4;4;100;0.06;KW07.xlsx;2016
228;A10414;Sandwich Ham & Cheese;27.5;27.5;5;0;5.5;27.5;100;0.42;KW07.xlsx;2016
229;A10427;Bagel Sandwich Tandoori;5.5;5.5;1;0;5.5;5.5;100;0.08;KW07.xlsx;2016
230;A10430;Bagel Sandwich Fisherman's Catch;11;11;2;0;5.5;11;100;0.17;KW07.xlsx;2016
232;A10000;Küche;167.6;167.6;12;0;13.97;167.6;100;1.9;KW08.xlsx;2016
233;A10001;Favorite;3'290.00;3'290.00;430;0;7.65;3'290.00;100;37.38;KW08.xlsx;2016
234;A10002;Green;2'153.00;2'153.00;286;0;7.53;2'153.00;100;24.46;KW08.xlsx;2016
235;A100039;Portion Pommes;33;33;6;0;5.5;33;100;0.37;KW08.xlsx;2016
236;A10004;Brot Stück;0.6;0.6;2;0;0.3;0.6;100;0.01;KW08.xlsx;2016
237;A10005;Menu Suppe;25.5;25.5;17;0;1.5;25.5;100;0.29;KW08.xlsx;2016
238;A10006;Menu Salat;273;273;180;0;1.52;273;100;3.1;KW08.xlsx;2016
239;A10007;Senf Mayo Ketschup;2.5;2.5;5;0;0.5;2.5;100;0.03;KW08.xlsx;2016
240;A10008;Gemüseportion;4.5;4.5;3;0;1.5;4.5;100;0.05;KW08.xlsx;2016
241;A10013;Kitchen 3;306;306;26;0;11.77;306;100;3.48;KW08.xlsx;2016
242;A10014;Kitchen 4;818;818;64;0;12.78;818;100;9.29;KW08.xlsx;2016
243;A10020;Local 0;988;988;133;0;7.43;988;100;11.22;KW08.xlsx;2016
244;A10040;Garden;401.8;401.8;57;17.46;23.01;401.8;100;4.56;KW08.xlsx;2016
245;A10063;Frucht 1.00;8;8;8;0;1;8;100;0.09;KW08.xlsx;2016
246;A10072;Schichtjoghurt;3;3;1;0;3;3;100;0.03;KW08.xlsx;2016
247;A10073;Saisonfrüchte geschnitten;15;15;4;0;3.75;15;100;0.17;KW08.xlsx;2016
248;A10101;Ragusa-Gipfel ;9.6;9.6;4;0;2.4;9.6;100;0.11;KW08.xlsx;2016
249;A10103;Vanille-Gipfel;2.4;2.4;1;0;2.4;2.4;100;0.03;KW08.xlsx;2016
250;A10108;Laugenbrezel mit Butter;4.6;4.6;2;0;2.3;4.6;100;0.05;KW08.xlsx;2016
251;A10118;Brownie ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW08.xlsx;2016
252;A10119;Studentenschnitte ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW08.xlsx;2016
253;A10127;Aprikosenplunder;2.4;2.4;1;0;2.4;2.4;100;0.03;KW08.xlsx;2016
254;A10128;Aprikosenjalousie;2.4;2.4;1;0;2.4;2.4;100;0.03;KW08.xlsx;2016
255;A10135;Wähe;7.8;7.8;2;0;3.9;7.8;100;0.09;KW08.xlsx;2016
256;A10144;Trockengebäck 100g verpackt;11;11;5;0;2.2;11;100;0.12;KW08.xlsx;2016
257;A10148;Fruchttörtli;5.3;5.3;2;0;2.65;5.3;100;0.06;KW08.xlsx;2016
258;A10163;Bürli;1.4;1.4;1;0;1.4;1.4;100;0.02;KW08.xlsx;2016
259;A10200;Birchermüesli Classic;26.6;26.6;8;0;3.33;26.6;100;0.3;KW08.xlsx;2016
260;A10201;Birchermüesli Saisonal;4.9;4.9;1;0;4.9;4.9;100;0.06;KW08.xlsx;2016
261;A10409;Sandwich Appenzell;22;22;4;0;5.5;22;100;0.25;KW08.xlsx;2016
262;A10410;Sandwich Milano;12;12;3;0;4;12;100;0.14;KW08.xlsx;2016
263;A10411;Sandwich Power Ham;4.5;4.5;1;0;4.5;4.5;100;0.05;KW08.xlsx;2016
265;A10000;Küche;55.4;55.4;12;0;4.62;55.4;100;0.62;KW09.xlsx;2016
266;A10001;Favorite;2'842.00;2'842.00;368;0;7.72;2'842.00;100;31.74;KW09.xlsx;2016
267;A10002;Green;2'151.00;2'151.00;285;0;7.55;2'151.00;100;24.02;KW09.xlsx;2016
268;A100039;Portion Pommes;27.5;27.5;5;0;5.5;27.5;100;0.31;KW09.xlsx;2016
269;A10004;Brot Stück;0.6;0.6;2;0;0.3;0.6;100;0.01;KW09.xlsx;2016
270;A10005;Menu Suppe;63;63;42;0;1.5;63;100;0.7;KW09.xlsx;2016
271;A10006;Menu Salat;245;245;156;0;1.57;245;100;2.74;KW09.xlsx;2016
272;A10007;Senf Mayo Ketschup;5.5;5.5;11;0;0.5;5.5;100;0.06;KW09.xlsx;2016
273;A10008;Gemüseportion;1.5;1.5;1;0;1.5;1.5;100;0.02;KW09.xlsx;2016
274;A10012;Kitchen 2;445;445;42;0;10.6;445;100;4.97;KW09.xlsx;2016
275;A10013;Kitchen 3;214;214;18;0;11.89;214;100;2.39;KW09.xlsx;2016
276;A10014;Kitchen 4;671;671;53;0;12.66;671;100;7.49;KW09.xlsx;2016
277;A10020;Local 0;1'518.00;1'518.00;199;0;7.63;1'518.00;100;16.95;KW09.xlsx;2016
278;A10040;Garden;361.9;361.9;55;15.71;23.03;361.9;100;4.04;KW09.xlsx;2016
279;A10061;Frucht -.80;2.4;2.4;3;0;0.8;2.4;100;0.03;KW09.xlsx;2016
